	en	ru	label	bicleaner	laser	labse
10	Malaysia Paraguay . 1996	Малайзия Парагвай . 1996 года	1	0.576	0.9931293725967407	0.9377523064613342
11	This could contribute to verification of existing disarmament and arms limitation agreements, establishing facts prior to the conclusion of new agreements, monitoring crisis situations and disengagement agreements, as well as preventing and handling disasters and major natural hazards.	Это могло бы способствовать контролю за соблюдением действующих соглашений о разоружении и ограничении вооружений, установлению фактов до заключения новых соглашений, наблюдению за развитием кризисных ситуаций и за выполнением соглашений о разъединении, а также предупреждению катастроф и крупных стихийных бедствий и их преодолению.	1	0.814	0.9644879102706909	0.8769449591636658
12	In its generic meaning, a Space Code of Conduct has been considered to consist of a set of norms to guide States' behaviour in respect of their own and/or others' activities.	В своем родовом понятии кодекс поведения в космическом пространстве, как полагают, состоит из комплекса норм, определяющих поведение государств в отношении их собственных мероприятий и/или мероприятий других.	1	0.678	0.9069661498069763	0.8514455556869507
13	"It seems fair to assume that the degree of adherence by the community of nations to rules intended to curb the use of sensitive technologies in weapons of mass destruction will be in proportion to the perception that such rules do not constitute an impediment, but rather an encouragement, to the dissemination of scientific and technological knowledge for peaceful purposes."" 67/"	"Представляется разумным предположить, что степень соблюдения международным сообществом норм, предназначенных ограничить использование чувствительных технологий для производства оружия массового уничтожения, будет находиться в прямой зависимости от глубины понимания того, что эти нормы призваны не препятствовать, а скорее способствовать распространению научных и технологических знаний в мирных целях"" 67/."	1	0.824	0.94461989402771	0.8280186653137207
14	C. Sessions held by the Commission and questions examined	С. Сессии, проведенные Комиссией, и рассмотренные вопросы	1	0.724	0.977985680103302	0.9468411803245544
15	She informed the Commission that the jurisprudence of the ILO Administrative Tribunal required ILO to examine the legality of the Commission's decisions before making any amendments to its Staff Regulations.	Она информировала Комиссию, что в соответствии с судебной практикой Административного трибунала МОТ ей необходимо изучить правомерность решений Комиссии, прежде чем вносить какие-либо поправки в свои положения о персонале.	1	0.872	0.9218779802322388	0.8672773241996765
16	Gross exports	Экспорт брутто	1	0.688	0.9162042737007141	0.7328822016716003
17	Regional Director for Latin Resident Representative	Директор Регионального отделения Представитель-резидент	1	0.616	0.8747708797454834	0.7624097466468811
18	(a) While the first phase is being implemented, the United Nations, in cooperation with the States directly involved, and the PLO as the interim representative of the Palestinian entity, should proceed to make the necessary arrangements to enable Palestinians displaced between 1948 and 1967 to exercise their right to return to their homes and property, in accordance with the relevant United Nations resolutions, particularly General Assembly resolution 194 (III);	а) в ходе осуществления первого этапа Организация Объединенных Наций в сотрудничестве с непосредственно заинтересованными государствами и Организацией освобождения Палестины как временного представителя палестинского образования приступила к проведению необходимых мероприятий, чтобы дать возможность палестинцам, перемещенным в период с 1948 по 1967 год, осуществить свое право на возвращение к своим очагам и к своей собственности согласно соответствующим резолюциям Организации Объединенных Наций, в частности резолюции 194 (III) Генеральной Ассамблеи;	1	0.76	0.9648267030715942	0.8630815148353577
19	Participation by mercenaries in assassinations and attacks on ANC leaders in various African and European countries has also been described.	Говорилось также об участии наемников в убийствах и покушениях на руководителей АНК в различных странах Африки и Европы.	1	0.568	0.9388871192932129	0.8518655896186829
20	This would require support systems for parents in the formal sector, opening non-traditional economic activities or fields of training to women, equal access to education and policies combating discriminatory attitudes in society, the working world and the family (see CEDAW/C/1992/6).	Это потребует создания систем поддержки родителей в формальном секторе, открытия нетрадиционных экономических видов деятельности или областей подготовки для женщин, обеспечения равного доступа к образованию и политике, направленной на борьбу с дискриминационными проявлениями в обществе, сфере трудовых отношений и семье (см. CEDAW/C/1992/6).	1	0.928	0.9734804034233093	0.9015669226646423
21	The Secretariat must be in a position to provide civilian and military personnel, as soon as they are deployed, with this type of equipment, which is indispensable for the execution of their mandate.	Необходимо, чтобы Секретариат имел возможность обеспечить гражданский и военный персонал такими средствами, необходимыми для выполнения его мандата, сразу же после его развертывания.	1	0.756	0.8772556781768799	0.7505879998207092
22	V. ACTIVITIES IN CONNECTION WITH HUMAN RIGHTS . 22 -	V. ДЕЯТЕЛЬНОСТЬ, КАСАЮЩАЯСЯ ПРАВ ЧЕЛОВЕКА . 22 -	1	0.692	0.9831135272979736	0.833045482635498
23	There have been arrests and detentions for reasons of a political nature during the period covered by the report.	В течение периода, охватываемого докладом, имели место аресты и задержания лиц по мотивам политического характера.	1	0.864	0.878304660320282	0.8974775671958923
24	"These include nuclear explosives under the control of the Navy, nuclear artillery, the so-called ""Lance"" missiles and weaponry carried by the nuclear capable F-16 war-planes."	"Это ядерное оружие включает ядерные заряды, контролируемые военно-морскими силами, ядерную артиллерию, так называемые ракеты ""Ланс"" и ядерное оружие, которое могут нести на борту самолеты F-16."	1	0.678	0.9290152788162231	0.8759671449661255
25	6. At the invitation of OIC and the Government of Pakistan, the Executive Secretary of the Economic and Social Commission for Asia and the Pacific (ESCAP) represented the Secretary-General of the United Nations at the Twenty-first Islamic Conference of Foreign Ministers, held at Karachi, Pakistan, from 25 to 29 April 1993, at which he delivered a message on behalf of the Secretary-General.	6. По приглашению ОИК и правительства Пакистана Исполнительный секретарь Экономической и социальной комиссии для Азии и Тихого океана (ЭСКАТО) представлял Генерального секретаря Организации Объединенных Наций на двадцать первой Исламской конференции министров иностранных дел, состоявшейся в Карачи, Пакистан, 25-29 апреля 1993 года, где он выступил с заявлением от имени Генерального секретаря.	1	0.88	0.9829885959625244	0.9364370107650757
26	G. Governor/Treasurer (1970-1976), Adviser (1990-1993), Vice-Chairman, Citizens Legal Aid Society of the Philippines.	G. Управляющий/попечитель (1970-1976 годы), советник (1990-1993 годы), заместитель председателя Общества по оказанию юридической помощи гражданам Филиппин.	1	0.78	0.9633495211601257	0.9417557120323181
27	58. The United Nations and LAS and their specialized agencies and organizations especially the Universal Postal Union (UPU), are encouraged to cooperate in the following areas:	58. Организация Объединенных Наций и Лига арабских государств и их специализированные учреждения и организации, в частности Всемирный почтовый союз (ВПС), призываются сотрудничать в следующих областях:	1	0.852	0.9613417387008667	0.8699156641960144
28	18. Additionally, the Centre for Human Rights, in cooperation with the Romanian Institute for Human Rights and within the framework of its technical cooperation programme with Romania, organized in May 1993 the Workshop on Conflict Resolution between Citizens and State Organs.	18. Кроме того, Центр по правам человека, в сотрудничестве с Румынским институтом по правам человека и в рамках программы технического сотрудничества с Румынией, организовал в мае 1993 года практикум по урегулированию конфликтов между гражданами и государственными органами.	1	0.87	0.9776432514190674	0.9467241168022156
29	VIII. CONCLUSIONS AND OBSERVATIONS . 137 -	VIII. ВЫВОДЫ И ЗАМЕЧАНИЯ . 137 -	1	0.64	0.9812697768211365	0.9327844977378845
30	6. The Commission on Human Rights, at its forty-ninth session, considered the comprehensive study of the representative of the Secretary-General (E/CN.4/1993/35) and adopted resolution 1993/95 of 11 March 1993, in which it requested the Secretary-General to mandate his representative on internally displaced persons for a period of two years to continue his work aimed at a better understanding of the general problems faced by internally displaced persons and their possible long-term solutions, with a view to identifying, where required, ways and means of improving protection for and assistance to internally displaced persons.	6. На своей сорок девятой сессии Комиссия по правам человека рассмотрела всеобъемлющее исследование представителя Генерального секретаря (Е/СN.4/1993/35) и приняла резолюцию 1993/95 от 11 марта 1993 года, в которой она просила Генерального секретаря предоставить его представителю по вопросу о лицах, перемещенных внутри страны, мандат на двухгодичный период для продолжения работы, направленной на достижение более глубокого понимания общих проблем, с которыми сталкиваются лица, перемещенные внутри страны, и возможных путей их долгосрочного решения, с тем чтобы выявить, где это необходимо, пути и средства предоставления более эффективной защиты и помощи лицам, перемещенным внутри страны.	1	0.764	0.9778401851654053	0.8687967658042908
31	UNHCR fieldb - - - -	УВКБ, отделения на местах b/ - - - -	1	0.524	0.9134975075721741	0.5232728719711304
32	25E With regard to the services provided by UNIDO, the Secretary-General reported the lack of consensus between representatives of UNIDO and the United Nations concerning the advantages of unified conference services under the authority of the United Nations and, in accordance with General Assembly resolution 45/248 A, section VIII, submitted proposals for separate conference services for the United Nations (A/C.5/46/30).	25Е.102 Что касается услуг, которые предоставляет ЮНИДО, то Генеральный секретарь сообщил об отсутствии единого мнения у представителей ЮНИДО и Организации Объединенных Наций относительно преимуществ единого конференционного обслуживания под эгидой Организации Объединенных Наций, и в соответствии с резолюцией 45/248 А, раздел VIII, Генеральной Ассамблеи представил предложения, касающиеся раздельного конференционного обслуживания Организации Объединенных Наций (A/C.5/46/30).	1	0.876	0.9711788892745972	0.912426769733429
33	14. Reiterates its view, expressed in section VIII of its resolution 44/201 A of 21 December 1989, on the desirability of the establishment of unified conference services at Vienna and, in this context, stresses that the combined financial burden for providing conference services to the United Nations Office at Vienna and the United Nations Industrial Development Organization should, in the long run, benefit from the unification agreement, and urges the Secretary-General to conclude the negotiations with the United Nations Industrial Development Organization in that regard as quickly as possible and to report thereon to the General Assembly no later than at its forty-ninth session;	14. вновь высказывает свое мнение, изложенное в разделе VIII своей резолюции 44/201 А от 21 декабря 1989 года, относительно желательности создания единого подразделения конференционного обслуживания в Вене, и в этом контексте подчеркивает, что совокупное финансовое бремя по обеспечению конференционного обслуживания Отделения Организации Объединенных Наций в Вене и Организации Объединенных Наций по промышленному развитию должно в долгосрочном плане сократиться в результате соглашения об объединении, и настоятельно призывает Генерального секретаря как можно скорее завершить переговоры с Организацией Объединенных Наций по промышленному развитию по этому вопросу и представить соответствующий доклад Генеральной Ассамблее не позднее чем на ее сорок девятой сессии;	1	0.718	0.9733719825744629	0.8911763429641724
34	131. Under the arrangements adopted by the Board in 1986 to stagger the membership of the Committee, the terms of three of the members are scheduled to expire on 31 December 1993:	131. В соответствии с мерами, принятыми Правлением в 1986 году для постепенного обновления членского состава Комитета, сроки полномочий трех его членов истекают 31 декабря 1993 года:	1	0.67	0.9187178611755371	0.914539635181427
35	This stems from Qatar's belief in the dignity of man and its adherence to the eternal principles of Islamic Sharia, which uphold the right of the individual to a decent life of freedom, justice, peace, brotherhood and the equality of all men.	Это проистекает из веры Катара в достоинство человека и его приверженности вечным принципам исламского шариата, который отстаивает право человека на достойную жизнь в условиях свободы, справедливости, мира, братства и равенства всех людей.	1	0.904	0.9614798426628113	0.9055654406547546
36	However, today's world is different from that of the signatories of the United Nations Charter.	Однако сегодня мир отличается от того, каким он был во время подписания Устава Организации Объединенных Наций.	1	0.808	0.8563072681427002	0.7616289258003235
37	Regional organizations can help to identify potential conflicts and, together with the United Nations, contain them before they erupt.	Региональные организации могут помочь выявить потенциальные конфликты и вместе с Организацией Объединенных Наций сдержать их, прежде чем они разразятся.	1	0.958	0.9520701766014099	0.8317795395851135
38	The Organization has long been in place in South-East Asia in this regard.	В этом отношении Организация длительное время принимала участие в делах Юго-Восточной Азии.	1	0.828	0.8783121705055237	0.8350560665130615
39	Mr. SENILOLI (Fiji): On behalf of the people and Government of the Republic of Fiji, I congratulate Ambassador Insanally very warmly on his election as President of the Assembly.	Г-н СЕНИОЛИ (Фиджи) (говорит по-английски): От имени народа и правительства Республики Фиджи я самым теплым образом поздравляю посла Инсаналли в связи с его избранием Председателем этой Ассамблеи.	1	0.894	0.9680033922195435	0.9201187491416931
40	None the less, although my delegation has joined in the consensus on the draft resolution because it shares the humanitarian spirit that inspires it, we do wish to place on record a few considerations of a political and technical nature that we view as important.	Тем не менее, хотя моя делегация присоединилась к консенсусу по проекту резолюции в силу того, что она разделяет ее гуманитарный настрой, мы хотели бы официально высказать ряд соображений политического и технического характера, которые мы считаем особо важными.	1	0.734	0.9529775977134705	0.8101164698600769
41	For those reasons, the United States was unable to vote for the draft resolution.	С учетом всех этих причин Соединенные Штаты не смогли проголосовать за проект резолюции.	1	0.866	0.9520629644393921	0.8082611560821533
42	We are confident that, as it continues to mobilize more assistance for the emergency in Burundi, it will continue to remember the needs of people of Burundi living in exile outside their country.	Мы убеждены, что по мере того, как оно продолжает мобилизовать все большее количество помощи для облегчения чрезвычайного положения в Бурунди, оно не будет забывать и о нуждах тех бурундийцев, которые живут в изгнании за пределами своей страны.	1	0.878	0.934358537197113	0.8397694230079651
43	It has done so by establishing a deep nexus between terrorism and the trade in narcotic drugs.	Он действует таким образом через установление тесной связи между терроризмом и торговлей наркотическими средствами.	1	0.792	0.9087216854095459	0.8338726162910461
44	Agreement had been reached on a specific programme for change and the countdown to democracy had finally begun. On 27 April 1994, the people of South Africa, irrespective of gender, race, colour or belief, would join in the historic act of electing a government of their choice.	Было достигнуто соглашение относительно конкретной программы преобразований, и наконец началось движение по пути к демократии. 27 апреля 1994 года все население Южной Африки, независимо от пола, расы, цвета кожи или убеждений, проведет исторические свободные выборы правительства.	1	0.876	0.9307931661605835	0.8656188249588013
45	Senior staff	Старшие сотрудники	1	0.64	0.95541912317276	0.9118677377700806
46	AGENDA ITEM 96: INTERNATIONAL CONFERENCE ON POPULATION AND DEVELOPMENT	ПУНКТ 96 ПОВЕСТКИ ДНЯ: МЕЖДУНАРОДНАЯ КОНФЕРЕНЦИЯ ПО НАРОДОНАСЕЛЕНИЮ И РАЗВИТИЮ	1	0.698	0.9788291454315186	0.8891261219978333
47	"By adopting the Charter of the United Nations, States had committed themselves, individually and collectively, to promote ""higher standards of living, full employment, and conditions of economic and social progress and development""."	"Принимая Устав Организации Объединенных Наций, государства обязались коллективно и на индивидуальной основе содействовать ""повышению уровня жизни, полной занятости населения и условиям экономического и социального прогресса и развития""."	1	0.932	0.9672746062278748	0.8606122136116028
48	The results would be evaluated and monitored regularly by the donors.	Его результаты будут оцениваться и контролироваться через регулярные промежутки времени вкладчиками капитала.	1	0.786	0.7962201237678528	0.7640635967254639
49	He hoped that the World Summit for Social Development in 1995 would be an opportunity for the international community to give specific responses to the constant appeals of many of its members whose chances of acceding to genuine development were being eroded as time went by.	Он надеется, что Всемирная встреча на высшем уровне в интересах социального развития, которая состоится в 1995 году, даст возможность международному сообществу конкретным образом ответить на постоянные призывы многих его членов, чьи шансы встать на путь подлинного развития со временем становятся все менее и менее реальными.	1	0.874	0.9386197328567505	0.8372165560722351
50	Regarding explanations of vote, rights of reply, points of order and the length of statements, he reminded delegations of the provisions of General Assembly decision 34/401, paragraphs 6, 7 and 8, which were also set out in document A/48/250.	Что касается выступлений по мотивам голосования, права на ответ, вопросов по порядку ведения заседаний и продолжительности выступлений, то он напоминает делегатам положения пунктов 6, 7 и 8 решения 34/401 Генеральной Ассамблеи, которые также приводятся в документе А/48/250.	1	0.742	0.9695203900337219	0.886181116104126
51	The resolution urged all parties to maintain their dialogue in a spirit of harmony and invited them to continue promoting a framework for the peaceful progress of the Territory towards self-determination.	В этом проекте ко всем сторонам обращен призыв вести свой диалог в духе согласия и продолжать усилия по созданию такой основы, на которой был бы обеспечен мирный переход территории к самоопределению.	1	0.214	0.9030943512916565	0.7982483506202698
52	Mr. Mohammad Abdur Rouf Mr. Sophorn Choun Mr. Khhough Ngin Mr. Sok Phiep Lay	г-н Мохаммад Абдур Роуф ЮНТАК Бангладеш 29.03.93 Убит на контрольно-пропускном пункте КНВС, когда водитель якобы отказался остановиться.	0	0.24	0.6873282194137573	0.45606300234794617
53	- Candidate in Jurisprudence (Ph.D.),	- Кандидат юридических наук (степень д-ра философии), 1974 год	1	0.396	0.7648618817329407	0.7245684266090393
54	41. His delegation appreciated the efforts of the Commission and its Working Group to minimize the budgetary impact of a permanent court by providing that the tribunal should be operational only as needed.	41. Делегация оратора высоко оценивает усилия Комиссии и ее Рабочей группы, которые стремятся свести до минимума последствия создания постоянного суда для бюджета, предусмотрев, что трибунал будет функционировать только при необходимости.	1	0.784	0.9429932832717896	0.8713083863258362
55	"The need for a review had become increasingly apparent, as was reflected in the proposals contained in ""An Agenda for Peace"", in General Assembly resolution 47/233, and in the efforts to restructure the United Nations in the economic and social fields."	"Необходимость проведения такого обзора становится все более очевидной, и это нашло свое отражение в предложениях, содержащихся в ""Повестке дня для мира"", в резолюции 47/233 Генеральной Ассамблеи и в усилиях по перестройке Организации Объединенных Наций в экономической и социальной областях."	1	0.908	0.9719821214675903	0.8595523834228516
56	2. Urges Member States to observe the Olympic Truce from the seventh day before the opening and the seventh day following the closing of each of the Olympic Games, in accordance with the appeal launched by the International Olympic Committee;	"2. настоятельно призывает государства-члены соблюдать ""олимпийское перемирие"" в течение периода, начинающегося за семь дней до открытия и заканчивающегося через семь дней после закрытия каждых Олимпийских игр, в соответствии с призывом Международного олимпийского комитета;"	1	0.75	0.9280200004577637	0.8533162474632263
57	8. Invites the Administrator to outline his plans for the future of the United Nations Capital Development Fund for presentation to the Governing Council at its forty-second session (1995) with a view to identifying any potential reorientation of the Fund's original mandate as well as to preserving its autonomy and identity as a United Nations Development Programme-administered fund in light of new requirements and priorities of recipient countries and increasing demands on the international community;	8. предлагает Администратору представить Совету управляющих на его сорок второй сессии (1995 год) свои планы в отношении будущего Фонда капитального развития Организации Объединенных Наций в целях изучения необходимости любого возможного пересмотра первоначального мандата Фонда, а также сохранения его независимости и самостоятельности как фонда, управляемого Программой развития Организации Объединенных Наций, в свете новых потребностей и приоритетов стран-получателей помощи и увеличения спроса на помощь со стороны международного сообщества;	1	0.676	0.9636785984039307	0.898560643196106
58	There have been 460 plenary sessions of MAC and 508 meetings of MAC Secretaries since the Armistice Agreement was signed.	Со времени подписания Соглашения о перемирии было проведено 460 пленарных заседаний ВКП и 508 заседаний секретарей ВКП.	1	0.658	0.8778778314590454	0.9317823052406311
59	The full cooperation and goodwill of the Government of Iraq in carrying out the plan will be the determining factor as to the extent to which the Commission will be obliged to invoke and insist upon its rights.	Сотрудничество в полном объеме и добрая воля со стороны правительства Ирака при осуществлении этого плана будут решающим фактором того, насколько Комиссия будет вынуждена требовать осуществления своих прав и настаивать на них.	1	0.8	0.9519537687301636	0.8500151634216309
60	"Considering that, as successors to the Socialist Federal Republic of Yugoslavia which had been party to the Convention on Transit Trade of Land-Locked States concluded in New York on 8 July 1965 (hereinafter the ""Convention""), the Republic of Croatia and the Union of Republics of Bosnia and Herzegovina should apply between them the provisions of the Convention,"	"принимая во внимание, что в качестве правопреемников Социалистической Федеративной Республики Югославии, которая являлась участницей Конвенции о транзитной торговле внутриконтинентальных государств, заключенной в Нью-Йорке 8 июля 1965 года (ниже именуется ""Конвенция""), Республика Хорватия и Союз Республик Боснии и Герцеговины должны применять в отношениях между собой положения Конвенции,"	1	0.846	0.9688642621040344	0.8892057538032532
61	The pressure exerted in that way by the local Serbs from Knin was not acceptable to our delegation, which insisted that the signing of the cease-fire agreement, as called for in paragraph 5 of the 15-16 July 1993 agreement, is a prerequisite for any unilateral and temporary withdrawal of Croatian armed forces from any part of the territory of the Republic of Croatia.	Оказываемое таким образом местными сербами из Книна давление было неприемлемым для нашей делегации, которая решительно заявила, что подписание соглашения о прекращении огня, предусмотренное в пункте 5 соглашения от 15-16 июля 1993 года, является необходимым предварительным условием для любого одностороннего и временного вывода хорватских вооруженных сил из любой части территории Республики Хорватии.	1	0.926	0.9733959436416626	0.8944496512413025
62	VI. Finances	VI. Финансы	1	0.666	0.9891090393066406	0.9690952301025391
63	The general peace agreement also called for four commissions to be established, comprising members of the Government and RENAMO as well as other members appointed as a result of consultations held by the President of Mozambique.	28. В Общем соглашении об установлении мира также содержится призыв к созданию четырех комиссий, включающих в себя членов правительства и МНС, а также других членов, назначенных в результате консультаций, проводимых президентом Мозамбика.	1	0.666	0.9685700535774231	0.8093821406364441
64	the Republic of Kazakhstan the Kyrgyz Republic	Республики Кыргызской Российской Республики Республики	-1	0.758	0.9387218952178955	0.8271841406822205
65	"President Izetbegovic, in his response on 4 November 1993, informed my Special Representative that the convoys were ""caught in crossfire"", and ""unaimed bullets hit the driver""."	"Председатель Изетбегович в своем ответном письме от 4 ноября 1993 года сообщил моему Специальному представителю о том, что колонны ""попали в перестрелку"" и ""водитель был убит шальной пулей""."	1	0.736	0.929176926612854	0.8437917232513428
66	It was headed by the Chief of the International Instruments Section of the Centre for Human Rights, who was assisted by two Professional staff members, one from the Centre in Geneva and the other from the Department of Political Affairs in New York.	Ее возглавлял начальник Секции международных документов Центра по правам человека, которому оказывали содействие два сотрудника категории специалистов, один из которых представлял Центр в Женеве, а другой - Департамент по политическим вопросам в Нью-Йорке.	1	0.932	0.9680518507957458	0.856613278388977
67	"Recalling the Council's presidential statement of 28 October 1993 (S/26661) and the Council's request that the Secretary-General ""submit as soon as possible a complete report on the responsibility for these acts [in Stupni Do]"", I wish to draw your attention to equally disturbing violations of international humanitarian law by extremist Bosnian Muslim elements that have yet to be investigated by the Special Rapporteur on human rights in the former Yugoslavia or considered by the Council."	"Ссылаясь на заявление Председателя Совета от 28 октября 1993 года (S/26661) и просьбу Совета к Генеральному секретарю ""в кратчайшие сроки представить полный доклад, устанавливающий ответственность за совершение этих деяний [в Ступни До]"", я желал бы привлечь Ваше внимание к не менее тревожным нарушениям международного гуманитарного права экстремистскими элементами боснийских мусульман, которые еще предстоит расследовать Специальному докладчику по правам человека в бывшей Югославии или рассмотреть Совету."	1	0.87	0.9755004644393921	0.8997986912727356
